,VaR_99,ES_99
2018-12-14,0.014751000504817799,0.019061217212385465
2018-12-17,0.014751000504817799,0.019061217212385465
2018-12-18,0.014751000504817799,0.019061217212385465
2018-12-19,0.014751000504817799,0.019061217212385465
2018-12-20,0.014751000504817799,0.019061217212385465
2018-12-21,0.014751000504817799,0.019061217212385465
2018-12-24,0.014751000504817799,0.019061217212385465
2018-12-25,0.014751000504817799,0.019061217212385465
2018-12-27,0.014751000504817799,0.019061217212385465
2018-12-28,0.014751000504817799,0.019061217212385465
2018-12-31,0.014751000504817799,0.019061217212385465
2019-01-04,0.014751000504817799,0.019061217212385465
2019-01-07,0.014751000504817799,0.019061217212385465
2019-01-08,0.014751000504817799,0.019061217212385465
2019-01-09,0.014751000504817799,0.019061217212385465
2019-01-10,0.014751000504817799,0.019061217212385465
2019-01-11,0.014751000504817799,0.019061217212385465
2019-01-15,0.014751000504817799,0.019061217212385465
2019-01-16,0.014751000504817799,0.019061217212385465
2019-01-17,0.014751000504817799,0.019061217212385465
2019-01-18,0.014751000504817799,0.019061217212385465
2019-01-21,0.014751000504817799,0.019061217212385465
2019-01-23,0.014751000504817799,0.019061217212385465
2019-01-24,0.014751000504817799,0.019061217212385465
2019-01-25,0.014751000504817799,0.019061217212385465
2019-01-28,0.014751000504817799,0.019061217212385465
2019-01-29,0.014751000504817799,0.019061217212385465
2019-01-30,0.014751000504817799,0.019061217212385465
2019-01-31,0.014751000504817799,0.019061217212385465
2019-02-01,0.014751000504817799,0.019061217212385465
2019-02-04,0.014751000504817799,0.019061217212385465
2019-02-05,0.014751000504817799,0.019061217212385465
2019-02-06,0.014751000504817799,0.019061217212385465
2019-02-07,0.013373563900794251,0.016191049617691234
2019-02-08,0.013373563900794251,0.016191049617691234
2019-02-12,0.013373563900794251,0.016191049617691234
2019-02-13,0.013373563900794251,0.016191049617691234
2019-02-14,0.013373563900794251,0.016191049617691234
2019-02-15,0.013373563900794251,0.016191049617691234
2019-02-18,0.013373563900794251,0.016191049617691234
2019-02-20,0.013373563900794251,0.016191049617691234
2019-02-21,0.013373563900794251,0.016191049617691234
2019-02-22,0.013373563900794251,0.016191049617691234
2019-02-25,0.013373563900794251,0.016191049617691234
2019-02-26,0.013373563900794251,0.016191049617691234
2019-02-27,0.013373563900794251,0.016191049617691234
2019-02-28,0.013373563900794251,0.016191049617691234
2019-03-01,0.013373563900794251,0.016191049617691234
2019-03-04,0.013373563900794251,0.016191049617691234
2019-03-05,0.013373563900794251,0.016191049617691234
2019-03-06,0.013373563900794251,0.016191049617691234
2019-03-07,0.013373563900794251,0.016191049617691234
2019-03-08,0.013373563900794251,0.016191049617691234
2019-03-11,0.013373563900794251,0.016191049617691234
2019-03-12,0.013373563900794251,0.016191049617691234
2019-03-13,0.013373563900794251,0.016191049617691234
2019-03-14,0.013373563900794251,0.016191049617691234
2019-03-15,0.013373563900794251,0.016191049617691234
2019-03-18,0.013373563900794251,0.016191049617691234
2019-03-19,0.013373563900794251,0.016191049617691234
2019-03-20,0.013373563900794251,0.016191049617691234
2019-03-22,0.013373563900794251,0.016191049617691234
2019-03-25,0.013373563900794251,0.016191049617691234
2019-03-26,0.013373563900794251,0.016191049617691234
2019-03-27,0.013373563900794251,0.016191049617691234
2019-03-28,0.013373563900794251,0.016191049617691234
2019-03-29,0.013373563900794251,0.016191049617691234
2019-04-01,0.013373563900794251,0.016191049617691234
2019-04-02,0.012995486673574839,0.016191049617691234
2019-04-03,0.012995486673574839,0.016191049617691234
2019-04-04,0.012995486673574839,0.016191049617691234
2019-04-05,0.012995486673574839,0.016191049617691234
2019-04-08,0.012995486673574839,0.016191049617691234
2019-04-09,0.012995486673574839,0.016191049617691234
2019-04-10,0.012995486673574839,0.016191049617691234
2019-04-11,0.012995486673574839,0.016191049617691234
2019-04-12,0.012995486673574839,0.016191049617691234
2019-04-15,0.012995486673574839,0.016191049617691234
2019-04-16,0.012995486673574839,0.016191049617691234
2019-04-17,0.012995486673574839,0.016191049617691234
2019-04-18,0.012995486673574839,0.016191049617691234
2019-04-19,0.012995486673574839,0.016191049617691234
2019-04-23,0.012995486673574839,0.016191049617691234
2019-04-24,0.012995486673574839,0.016191049617691234
2019-04-25,0.012995486673574839,0.016191049617691234
2019-04-26,0.012995486673574839,0.016191049617691234
2019-05-07,0.012995486673574839,0.016191049617691234
2019-05-08,0.012995486673574839,0.016191049617691234
2019-05-09,0.012995486673574839,0.016191049617691234
2019-05-10,0.012995486673574839,0.016191049617691234
2019-05-13,0.012995486673574839,0.016191049617691234
2019-05-14,0.012995486673574839,0.016191049617691234
2019-05-15,0.012995486673574839,0.016191049617691234
2019-05-16,0.012995486673574839,0.016191049617691234
2019-05-17,0.012995486673574839,0.016191049617691234
2019-05-20,0.012995486673574839,0.016191049617691234
2019-05-21,0.012995486673574839,0.016191049617691234
2019-05-22,0.012995486673574839,0.016191049617691234
2019-05-23,0.012995486673574839,0.016191049617691234
2019-05-24,0.012995486673574839,0.016191049617691234
2019-05-27,0.012995486673574839,0.016191049617691234
2019-05-29,0.012995486673574839,0.016191049617691234
2019-05-30,0.012995486673574839,0.016191049617691234
2019-05-31,0.012995486673574839,0.016191049617691234
2019-06-03,0.012995486673574839,0.016191049617691234
2019-06-04,0.012995486673574839,0.016191049617691234
2019-06-05,0.012995486673574839,0.016191049617691234
2019-06-06,0.012995486673574839,0.016191049617691234
2019-06-07,0.012995486673574839,0.016191049617691234
2019-06-10,0.012995486673574839,0.016191049617691234
2019-06-11,0.012995486673574839,0.016191049617691234
2019-06-12,0.012995486673574839,0.016191049617691234
2019-06-13,0.012995486673574839,0.016191049617691234
2019-06-14,0.012995486673574839,0.016191049617691234
2019-06-17,0.012995486673574839,0.016191049617691234
2019-06-18,0.012995486673574839,0.016191049617691234
2019-06-19,0.012995486673574839,0.016191049617691234
2019-06-20,0.012995486673574839,0.016191049617691234
2019-06-21,0.012995486673574839,0.016191049617691234
2019-06-24,0.012995486673574839,0.016191049617691234
2019-06-25,0.012995486673574839,0.016191049617691234
2019-06-26,0.012995486673574839,0.016191049617691234
2019-06-27,0.012995486673574839,0.016191049617691234
2019-06-28,0.012995486673574839,0.016191049617691234
2019-07-01,0.012995486673574839,0.016191049617691234
2019-07-02,0.012995486673574839,0.016191049617691234
2019-07-03,0.012995486673574839,0.016191049617691234
2019-07-04,0.012995486673574839,0.016191049617691234
2019-07-08,0.012995486673574839,0.016191049617691234
2019-07-09,0.012995486673574839,0.016191049617691234
2019-07-10,0.012995486673574839,0.016191049617691234
2019-07-11,0.012995486673574839,0.016191049617691234
2019-07-12,0.01093114760037238,0.013888154359180734
2019-07-16,0.01093114760037238,0.013888154359180734
2019-07-17,0.01093114760037238,0.013888154359180734
2019-07-18,0.01093114760037238,0.013888154359180734
2019-07-19,0.01093114760037238,0.013888154359180734
2019-07-22,0.01093114760037238,0.013888154359180734
2019-07-23,0.01093114760037238,0.013888154359180734
2019-07-24,0.01093114760037238,0.013888154359180734
2019-07-25,0.01093114760037238,0.013888154359180734
2019-07-26,0.01093114760037238,0.013888154359180734
2019-07-29,0.01093114760037238,0.013888154359180734
2019-07-30,0.01093114760037238,0.013888154359180734
2019-07-31,0.01093114760037238,0.013888154359180734
2019-08-01,0.01093114760037238,0.013888154359180734
2019-08-02,0.01093114760037238,0.013888154359180734
2019-08-05,0.01093114760037238,0.013888154359180734
2019-08-06,0.01093114760037238,0.013888154359180734
2019-08-07,0.01093114760037238,0.013888154359180734
2019-08-08,0.01093114760037238,0.013888154359180734
2019-08-09,0.01093114760037238,0.013888154359180734
2019-08-13,0.01093114760037238,0.013888154359180734
2019-08-14,0.01093114760037238,0.013888154359180734
2019-08-15,0.01093114760037238,0.013888154359180734
2019-08-16,0.01093114760037238,0.013888154359180734
2019-08-19,0.01093114760037238,0.013888154359180734
2019-08-20,0.01093114760037238,0.013888154359180734
2019-08-21,0.01093114760037238,0.013888154359180734
2019-08-22,0.01093114760037238,0.013888154359180734
2019-08-23,0.01093114760037238,0.013888154359180734
2019-08-26,0.008770798236803433,0.012505026562666466
2019-08-27,0.008770798236803433,0.012505026562666466
2019-08-28,0.008770798236803433,0.012505026562666466
2019-08-29,0.008727101927042768,0.012505026562666466
2019-08-30,0.008727101927042768,0.012505026562666466
2019-09-02,0.008727101927042768,0.012505026562666466
2019-09-04,0.008727101927042768,0.012505026562666466
2019-09-05,0.008727101927042768,0.012505026562666466
2019-09-06,0.008727101927042768,0.012505026562666466
2019-09-09,0.008727101927042768,0.012505026562666466
2019-09-10,0.008727101927042768,0.012505026562666466
2019-09-11,0.008727101927042768,0.012505026562666466
2019-09-12,0.008727101927042768,0.012505026562666466
2019-09-13,0.008727101927042768,0.012505026562666466
2019-09-17,0.008727101927042768,0.012505026562666466
2019-09-18,0.008727101927042768,0.012505026562666466
2019-09-19,0.008727101927042768,0.012505026562666466
2019-09-20,0.008727101927042768,0.012505026562666466
2019-09-24,0.008727101927042768,0.012505026562666466
2019-09-25,0.008727101927042768,0.012505026562666466
2019-09-26,0.008727101927042768,0.012505026562666466
2019-09-27,0.008727101927042768,0.012505026562666466
2019-09-30,0.008727101927042768,0.012505026562666466
2019-10-01,0.008727101927042768,0.012505026562666466
2019-10-02,0.008727101927042768,0.012505026562666466
2019-10-03,0.008727101927042768,0.012505026562666466
2019-10-04,0.008727101927042768,0.012505026562666466
2019-10-07,0.008727101927042768,0.012505026562666466
2019-10-08,0.008727101927042768,0.012505026562666466
2019-10-09,0.008727101927042768,0.012505026562666466
2019-10-10,0.008727101927042768,0.012505026562666466
2019-10-11,0.007277369894933434,0.009873197067588033
2019-10-15,0.007277369894933434,0.009873197067588033
2019-10-16,0.007277369894933434,0.009873197067588033
2019-10-17,0.007277369894933434,0.009873197067588033
2019-10-18,0.007277369894933434,0.009873197067588033
2019-10-21,0.007277369894933434,0.009873197067588033
2019-10-23,0.007277369894933434,0.009873197067588033
2019-10-24,0.007277369894933434,0.009873197067588033
2019-10-25,0.007277369894933434,0.009873197067588033
2019-10-28,0.007277369894933434,0.009873197067588033
2019-10-29,0.007277369894933434,0.009873197067588033
2019-10-30,0.007277369894933434,0.009873197067588033
2019-10-31,0.007277369894933434,0.009873197067588033
2019-11-01,0.007277369894933434,0.009873197067588033
2019-11-05,0.007277369894933434,0.009873197067588033
2019-11-06,0.007277369894933434,0.009873197067588033
2019-11-07,0.007277369894933434,0.009873197067588033
2019-11-08,0.007277369894933434,0.009873197067588033
2019-11-11,0.007277369894933434,0.009873197067588033
2019-11-12,0.007277369894933434,0.009873197067588033
2019-11-13,0.007277369894933434,0.009873197067588033
2019-11-14,0.007277369894933434,0.009873197067588033
2019-11-15,0.007277369894933434,0.009873197067588033
2019-11-18,0.007612150024527744,0.009873197067588033
2019-11-19,0.007612150024527744,0.009873197067588033
2019-11-20,0.007612150024527744,0.009873197067588033
2019-11-21,0.007612150024527744,0.009873197067588033
2019-11-22,0.007612150024527744,0.009873197067588033
2019-11-25,0.007612150024527744,0.009873197067588033
2019-11-26,0.007612150024527744,0.009873197067588033
2019-11-27,0.007612150024527744,0.009873197067588033
2019-11-28,0.007612150024527744,0.009873197067588033
2019-12-02,0.007612150024527744,0.009873197067588033
2019-12-03,0.00707233695450989,0.009139215100279133
2019-12-04,0.00707233695450989,0.009139215100279133
2019-12-05,0.00707233695450989,0.009139215100279133
2019-12-06,0.00707233695450989,0.009139215100279133
2019-12-09,0.00707233695450989,0.009139215100279133
2019-12-10,0.00707233695450989,0.009139215100279133
2019-12-11,0.00707233695450989,0.009139215100279133
2019-12-12,0.00707233695450989,0.009139215100279133
2019-12-13,0.00707233695450989,0.009139215100279133
2019-12-16,0.00707233695450989,0.009139215100279133
2019-12-17,0.00707233695450989,0.009139215100279133
2019-12-18,0.00707233695450989,0.009139215100279133
2019-12-19,0.00707233695450989,0.009139215100279133
2019-12-20,0.00707233695450989,0.009139215100279133
2019-12-23,0.00707233695450989,0.009139215100279133
2019-12-24,0.00707233695450989,0.009139215100279133
2019-12-25,0.00707233695450989,0.009139215100279133
2019-12-27,0.00707233695450989,0.009139215100279133
2019-12-30,0.00707233695450989,0.009139215100279133
2020-01-06,0.007378771224269845,0.009139215100279133
2020-01-07,0.007378771224269845,0.009139215100279133
2020-01-08,0.007378771224269845,0.009139215100279133
2020-01-09,0.007378771224269845,0.009139215100279133
2020-01-10,0.007378771224269845,0.009139215100279133
2020-01-14,0.007378771224269845,0.009139215100279133
2020-01-15,0.007378771224269845,0.009139215100279133
2020-01-16,0.007378771224269845,0.009139215100279133
2020-01-17,0.007378771224269845,0.009139215100279133
2020-01-20,0.007378771224269845,0.009139215100279133
2020-01-22,0.007378771224269845,0.009139215100279133
2020-01-23,0.007378771224269845,0.009139215100279133
2020-01-24,0.007378771224269845,0.009139215100279133
2020-01-27,0.007378771224269845,0.009139215100279133
2020-01-28,0.007378771224269845,0.009139215100279133
2020-01-29,0.007378771224269845,0.009139215100279133
2020-01-30,0.007378771224269845,0.009139215100279133
2020-01-31,0.007378771224269845,0.009139215100279133
2020-02-03,0.007378771224269845,0.009139215100279133
2020-02-04,0.007378771224269845,0.009139215100279133
2020-02-05,0.007378771224269845,0.009139215100279133
2020-02-06,0.007378771224269845,0.009139215100279133
2020-02-07,0.007378771224269845,0.009139215100279133
2020-02-10,0.007378771224269845,0.009139215100279133
2020-02-12,0.007378771224269845,0.009139215100279133
2020-02-13,0.007378771224269845,0.009139215100279133
2020-02-14,0.007378771224269845,0.009139215100279133
2020-02-17,0.007378771224269845,0.009139215100279133
2020-02-19,0.007378771224269845,0.009139215100279133
2020-02-20,0.007378771224269845,0.009139215100279133
2020-02-21,0.007378771224269845,0.009139215100279133
2020-02-25,0.007378771224269845,0.009139215100279133
2020-02-26,0.007378771224269845,0.009139215100279133
2020-02-27,0.007378771224269845,0.009139215100279133
2020-02-28,0.007378771224269845,0.009139215100279133
2020-03-02,0.007378771224269845,0.009139215100279133
2020-03-03,0.007378771224269845,0.009139215100279133
2020-03-04,0.007378771224269845,0.009139215100279133
2020-03-05,0.007378771224269845,0.009139215100279133
2020-03-06,0.007378771224269845,0.009139215100279133
2020-03-09,0.007378771224269845,0.009139215100279133
2020-03-10,0.007378771224269845,0.009139215100279133
2020-03-11,0.007378771224269845,0.009139215100279133
2020-03-12,0.007378771224269845,0.009139215100279133
2020-03-13,0.007378771224269845,0.009139215100279133
2020-03-16,0.007612150024527744,0.015539436253371034
2020-03-17,0.007612150024527744,0.015539436253371034
2020-03-18,0.007612150024527744,0.015539436253371034
2020-03-19,0.007612150024527744,0.015539436253371034
2020-03-23,0.007378771224269845,0.015405427795577867
2020-03-24,0.007378771224269845,0.015405427795577867
2020-03-25,0.007378771224269845,0.015405427795577867
2020-03-26,0.007378771224269845,0.015405427795577867
2020-03-27,0.007378771224269845,0.015405427795577867
2020-03-30,0.007378771224269845,0.015405427795577867
2020-03-31,0.009852194108428294,0.0170884051797843
2020-04-01,0.009852194108428294,0.0170884051797843
2020-04-02,0.009852194108428294,0.0170884051797843
2020-04-03,0.009852194108428294,0.0170884051797843
2020-04-06,0.009852194108428294,0.0170884051797843
2020-04-07,0.009852194108428294,0.0170884051797843
2020-04-08,0.009852194108428294,0.0170884051797843
2020-04-09,0.009852194108428294,0.0170884051797843
2020-04-10,0.009852194108428294,0.0170884051797843
2020-04-14,0.009852194108428294,0.0170884051797843
2020-04-15,0.009852194108428294,0.0170884051797843
2020-04-16,0.009852194108428294,0.0170884051797843
2020-04-17,0.007378771224269845,0.015490315621402533
2020-04-20,0.007378771224269845,0.015490315621402533
2020-04-21,0.007378771224269845,0.015490315621402533
2020-04-22,0.007378771224269845,0.015490315621402533
2020-04-23,0.008573396508280656,0.0162525897548512
2020-04-24,0.008573396508280656,0.0162525897548512
2020-04-27,0.008573396508280656,0.0162525897548512
2020-04-28,0.008573396508280656,0.0162525897548512
2020-04-30,0.008573396508280656,0.0162525897548512
2020-05-01,0.008573396508280656,0.0162525897548512
2020-05-07,0.008573396508280656,0.0162525897548512
2020-05-08,0.008573396508280656,0.0162525897548512
2020-05-11,0.008573396508280656,0.0162525897548512
2020-05-12,0.008573396508280656,0.0162525897548512
2020-05-13,0.008573396508280656,0.0162525897548512
2020-05-14,0.008573396508280656,0.0162525897548512
2020-05-15,0.008573396508280656,0.0162525897548512
2020-05-18,0.008573396508280656,0.0162525897548512
2020-05-19,0.008573396508280656,0.0162525897548512
2020-05-20,0.008573396508280656,0.0162525897548512
2020-05-21,0.008573396508280656,0.0162525897548512
2020-05-22,0.008573396508280656,0.0162525897548512
2020-05-25,0.008573396508280656,0.0162525897548512
2020-05-27,0.008573396508280656,0.0162525897548512
2020-05-28,0.008573396508280656,0.0162525897548512
2020-05-29,0.008573396508280656,0.0162525897548512
2020-06-01,0.008573396508280656,0.0162525897548512
2020-06-02,0.008573396508280656,0.0162525897548512
2020-06-03,0.008573396508280656,0.0162525897548512
2020-06-04,0.008573396508280656,0.0162525897548512
2020-06-05,0.008573396508280656,0.0162525897548512
2020-06-08,0.008573396508280656,0.0162525897548512
2020-06-09,0.008573396508280656,0.0162525897548512
2020-06-10,0.008573396508280656,0.0162525897548512
2020-06-11,0.008573396508280656,0.0162525897548512
2020-06-12,0.008573396508280656,0.0162525897548512
2020-06-15,0.011102615458109578,0.017534416843787134
2020-06-16,0.011102615458109578,0.017534416843787134
2020-06-17,0.011102615458109578,0.017534416843787134
2020-06-18,0.011102615458109578,0.017534416843787134
2020-06-19,0.011102615458109578,0.017534416843787134
2020-06-22,0.011102615458109578,0.017534416843787134
2020-06-23,0.011102615458109578,0.017534416843787134
2020-06-24,0.011102615458109578,0.017534416843787134
2020-06-25,0.011102615458109578,0.017534416843787134
2020-06-26,0.011102615458109578,0.017534416843787134
2020-06-29,0.011102615458109578,0.017534416843787134
2020-06-30,0.011102615458109578,0.017534416843787134
2020-07-01,0.011102615458109578,0.017534416843787134
2020-07-02,0.011102615458109578,0.017534416843787134
2020-07-03,0.011102615458109578,0.017534416843787134
2020-07-07,0.011102615458109578,0.017534416843787134
2020-07-08,0.011102615458109578,0.017534416843787134
2020-07-09,0.011102615458109578,0.017534416843787134
2020-07-10,0.011102615458109578,0.017534416843787134
2020-07-13,0.011102615458109578,0.017534416843787134
2020-07-14,0.011102615458109578,0.017534416843787134
2020-07-15,0.011102615458109578,0.017534416843787134
2020-07-16,0.011102615458109578,0.017534416843787134
2020-07-17,0.011102615458109578,0.017534416843787134
2020-07-20,0.011102615458109578,0.017534416843787134
2020-07-21,0.011102615458109578,0.017534416843787134
2020-07-22,0.011102615458109578,0.017534416843787134
2020-07-27,0.011102615458109578,0.017534416843787134
2020-07-28,0.011102615458109578,0.017534416843787134
2020-07-29,0.011102615458109578,0.017534416843787134
2020-07-30,0.011102615458109578,0.017534416843787134
2020-07-31,0.011102615458109578,0.017534416843787134
2020-08-03,0.011102615458109578,0.017534416843787134
2020-08-04,0.011102615458109578,0.017534416843787134
2020-08-05,0.011102615458109578,0.017534416843787134
2020-08-06,0.011102615458109578,0.017534416843787134
2020-08-07,0.011102615458109578,0.017534416843787134
2020-08-11,0.013008568709136093,0.0187079929998947
2020-08-12,0.013008568709136093,0.0187079929998947
2020-08-13,0.013008568709136093,0.0187079929998947
2020-08-14,0.013008568709136093,0.0187079929998947
2020-08-17,0.013008568709136093,0.0187079929998947
2020-08-18,0.013008568709136093,0.0187079929998947
2020-08-19,0.013008568709136093,0.0187079929998947
2020-08-20,0.013008568709136093,0.0187079929998947
2020-08-21,0.013008568709136093,0.0187079929998947
2020-08-24,0.013008568709136093,0.0187079929998947
2020-08-25,0.013008568709136093,0.0187079929998947
2020-08-26,0.013008568709136093,0.0187079929998947
2020-08-27,0.013008568709136093,0.0187079929998947
2020-08-28,0.013008568709136093,0.0187079929998947
2020-08-31,0.013008568709136093,0.0187079929998947
2020-09-01,0.013008568709136093,0.0187079929998947
2020-09-02,0.013008568709136093,0.0187079929998947
2020-09-03,0.013008568709136093,0.0187079929998947
2020-09-04,0.013008568709136093,0.0187079929998947
2020-09-07,0.013008568709136093,0.0187079929998947
2020-09-09,0.013008568709136093,0.0187079929998947
2020-09-10,0.013008568709136093,0.0187079929998947
2020-09-11,0.013008568709136093,0.0187079929998947
2020-09-14,0.013008568709136093,0.0187079929998947
2020-09-15,0.013008568709136093,0.0187079929998947
2020-09-16,0.013008568709136093,0.0187079929998947
2020-09-17,0.013008568709136093,0.0187079929998947
2020-09-18,0.013008568709136093,0.0187079929998947
2020-09-23,0.013008568709136093,0.0187079929998947
2020-09-24,0.013008568709136093,0.0187079929998947
2020-09-25,0.013008568709136093,0.0187079929998947
2020-09-28,0.013008568709136093,0.0187079929998947
2020-09-29,0.013008568709136093,0.0187079929998947
2020-09-30,0.013008568709136093,0.0187079929998947
2020-10-02,0.013008568709136093,0.0187079929998947
2020-10-05,0.013008568709136093,0.0187079929998947
2020-10-06,0.013008568709136093,0.0187079929998947
2020-10-07,0.013008568709136093,0.0187079929998947
2020-10-08,0.013008568709136093,0.0187079929998947
2020-10-09,0.013008568709136093,0.0187079929998947
2020-10-12,0.013008568709136093,0.0187079929998947
2020-10-13,0.013008568709136093,0.0187079929998947
2020-10-14,0.013008568709136093,0.0187079929998947
2020-10-15,0.013008568709136093,0.0187079929998947
2020-10-16,0.013008568709136093,0.0187079929998947
2020-10-19,0.013008568709136093,0.0187079929998947
2020-10-20,0.013008568709136093,0.0187079929998947
2020-10-21,0.013008568709136093,0.0187079929998947
2020-10-22,0.013008568709136093,0.0187079929998947
2020-10-23,0.013008568709136093,0.0187079929998947
2020-10-26,0.013008568709136093,0.0187079929998947
2020-10-27,0.013008568709136093,0.0187079929998947
2020-10-28,0.013008568709136093,0.0187079929998947
2020-10-29,0.013008568709136093,0.0187079929998947
2020-10-30,0.013008568709136093,0.0187079929998947
2020-11-02,0.013008568709136093,0.0187079929998947
2020-11-04,0.013008568709136093,0.0187079929998947
2020-11-05,0.013008568709136093,0.0187079929998947
2020-11-06,0.013008568709136093,0.0187079929998947
2020-11-09,0.013008568709136093,0.0187079929998947
2020-11-10,0.013008568709136093,0.0187079929998947
2020-11-11,0.013008568709136093,0.0187079929998947
2020-11-12,0.013008568709136093,0.0187079929998947
2020-11-13,0.013008568709136093,0.0187079929998947
2020-11-16,0.013008568709136093,0.0187079929998947
2020-11-17,0.013008568709136093,0.0187079929998947
2020-11-18,0.013008568709136093,0.0187079929998947
2020-11-19,0.013008568709136093,0.0187079929998947
2020-11-20,0.013008568709136093,0.0187079929998947
2020-11-24,0.013008568709136093,0.0187079929998947
2020-11-25,0.013008568709136093,0.0187079929998947
2020-11-26,0.013008568709136093,0.0187079929998947
2020-11-30,0.013008568709136093,0.0187079929998947
2020-12-01,0.013008568709136093,0.0187079929998947
2020-12-02,0.013008568709136093,0.0187079929998947
2020-12-03,0.013008568709136093,0.0187079929998947
2020-12-04,0.013008568709136093,0.0187079929998947
2020-12-07,0.013008568709136093,0.0187079929998947
2020-12-08,0.013008568709136093,0.0187079929998947
2020-12-09,0.013008568709136093,0.0187079929998947
2020-12-10,0.013008568709136093,0.0187079929998947
2020-12-11,0.013008568709136093,0.0187079929998947
2020-12-14,0.013008568709136093,0.0187079929998947
2020-12-15,0.013008568709136093,0.0187079929998947
2020-12-16,0.013008568709136093,0.0187079929998947
2020-12-17,0.013008568709136093,0.0187079929998947
2020-12-18,0.013008568709136093,0.0187079929998947
2020-12-21,0.013008568709136093,0.0187079929998947
2020-12-22,0.013008568709136093,0.0187079929998947
2020-12-23,0.013008568709136093,0.0187079929998947
2020-12-24,0.013008568709136093,0.0187079929998947
2020-12-25,0.013008568709136093,0.0187079929998947
2020-12-29,0.013008568709136093,0.0187079929998947
2020-12-30,0.013008568709136093,0.0187079929998947
2021-01-04,0.013008568709136093,0.0187079929998947
2021-01-05,0.013008568709136093,0.0187079929998947
2021-01-06,0.013183926630607882,0.0187079929998947
2021-01-07,0.013183926630607882,0.0187079929998947
2021-01-08,0.013183926630607882,0.0187079929998947
2021-01-12,0.013183926630607882,0.0187079929998947
2021-01-13,0.013183926630607882,0.0187079929998947
2021-01-14,0.013183926630607882,0.0187079929998947
2021-01-15,0.013183926630607882,0.0187079929998947
2021-01-18,0.013183926630607882,0.0187079929998947
2021-01-20,0.013183926630607882,0.0187079929998947
2021-01-21,0.013183926630607882,0.0187079929998947
2021-01-22,0.013183926630607882,0.0187079929998947
2021-01-25,0.013183926630607882,0.0187079929998947
2021-01-26,0.013183926630607882,0.0187079929998947
2021-01-27,0.013183926630607882,0.0187079929998947
2021-01-28,0.013183926630607882,0.0187079929998947
2021-01-29,0.013183926630607882,0.0187079929998947
2021-02-01,0.013183926630607882,0.0187079929998947
2021-02-02,0.013183926630607882,0.0187079929998947
2021-02-03,0.013183926630607882,0.0187079929998947
2021-02-04,0.013183926630607882,0.0187079929998947
2021-02-05,0.013183926630607882,0.0187079929998947
2021-02-08,0.013183926630607882,0.0187079929998947
2021-02-09,0.013183926630607882,0.0187079929998947
2021-02-10,0.013183926630607882,0.0187079929998947
2021-02-12,0.013183926630607882,0.0187079929998947
2021-02-15,0.013183926630607882,0.0187079929998947
2021-02-17,0.013183926630607882,0.0187079929998947
2021-02-18,0.013183926630607882,0.0187079929998947
2021-02-19,0.013183926630607882,0.0187079929998947
2021-02-22,0.013183926630607882,0.0187079929998947
2021-02-24,0.013183926630607882,0.0187079929998947
2021-02-25,0.013183926630607882,0.0187079929998947
2021-02-26,0.014782472797689978,0.027291561017024197
2021-03-01,0.014782472797689978,0.027291561017024197
2021-03-02,0.014782472797689978,0.027291561017024197
2021-03-03,0.014782472797689978,0.027291561017024197
2021-03-04,0.014782472797689978,0.027291561017024197
2021-03-05,0.014782472797689978,0.027291561017024197
2021-03-08,0.014782472797689978,0.027291561017024197
2021-03-09,0.014782472797689978,0.027291561017024197
2021-03-10,0.014782472797689978,0.027291561017024197
2021-03-11,0.014782472797689978,0.027291561017024197
2021-03-12,0.014782472797689978,0.027291561017024197
2021-03-15,0.014782472797689978,0.027291561017024197
2021-03-16,0.014782472797689978,0.027291561017024197
2021-03-17,0.014782472797689978,0.027291561017024197
2021-03-18,0.014782472797689978,0.027291561017024197
2021-03-19,0.014782472797689978,0.027291561017024197
2021-03-22,0.014782472797689978,0.027291561017024197
2021-03-23,0.014782472797689978,0.027291561017024197
2021-03-24,0.014782472797689978,0.027291561017024197
2021-03-25,0.014782472797689978,0.027291561017024197
2021-03-26,0.014782472797689978,0.027291561017024197
2021-03-29,0.014782472797689978,0.027291561017024197
2021-03-30,0.014782472797689978,0.027291561017024197
2021-03-31,0.014782472797689978,0.027291561017024197
2021-04-01,0.014782472797689978,0.027291561017024197
2021-04-02,0.014782472797689978,0.027291561017024197
2021-04-06,0.014782472797689978,0.027291561017024197
2021-04-07,0.013183926630607882,0.0229354410863169
2021-04-08,0.013183926630607882,0.0229354410863169
2021-04-09,0.013183926630607882,0.0229354410863169
2021-04-12,0.013183926630607882,0.0229354410863169
2021-04-13,0.013183926630607882,0.0229354410863169
2021-04-14,0.013183926630607882,0.0229354410863169
2021-04-15,0.013183926630607882,0.0229354410863169
2021-04-16,0.013183926630607882,0.0229354410863169
2021-04-19,0.013183926630607882,0.0229354410863169
2021-04-20,0.013183926630607882,0.0229354410863169
2021-04-21,0.013183926630607882,0.0229354410863169
2021-04-22,0.013183926630607882,0.0229354410863169
2021-04-23,0.013183926630607882,0.0229354410863169
2021-04-26,0.013183926630607882,0.0229354410863169
2021-04-27,0.013183926630607882,0.0229354410863169
2021-04-28,0.013183926630607882,0.0229354410863169
2021-04-30,0.013183926630607882,0.0229354410863169
2021-05-06,0.013183926630607882,0.0229354410863169
2021-05-07,0.013183926630607882,0.0229354410863169
2021-05-10,0.013183926630607882,0.0229354410863169
